,a,c,e,g,i,k,l,m,n,o,p,q
44,无敌当家 Beethoven,布莱恩·莱温特,Amy Holden Jones,奥利弗·普莱特,查尔斯·格罗丁,邦尼·亨特,"['剧情', '喜剧', '家庭']",87 分钟,1992,美国, 英语,7.8
45,红灯停，绿灯行,黄建新,叶广芩,牛振华,丁嘉丽,王刚,['喜剧'],105分钟,1996,中国大陆, 汉语普通话,7.8
46,圣诞故事 A Christmas Story,鲍勃·克拉克,Jean Shepherd,彼得·比灵斯雷,梅林达·狄龙,达伦·麦克加文,"['喜剧', '家庭']",94 分钟,1983,美国 / 加拿大, 英语,7.8
47,来的都是客,马绍惠,毕必成,赵本山,王彦波,巩汉林,"['剧情', '喜剧']",93分钟,1990,中国大陆, 汉语普通话,7.8
48,恋爱编织梦 How to Make an American Quilt,乔瑟琳·穆尔豪斯,简·安德森,薇诺娜·瑞德,艾伦·伯斯汀,安妮·班克罗夫特,"['剧情', '喜剧', '爱情']",109 分钟,1995,美国, 英语,7.8
49,越位 آفساید,贾法·帕纳西,贾法·帕纳西,Sima Mobarak-Shahi,Shayesteh Irani,Ayda Sadeqi,"['剧情', '喜剧', '运动']",93 分钟,2006,伊朗, 波斯语,7.8
50,逃亡 To Have and Have Not,霍华德·霍克斯,欧内斯特·海明威,亨弗莱·鲍嘉,劳伦·白考尔,沃尔特·布伦南,"['喜剧', '爱情', '冒险']",100 分钟,1944,美国, 英语,7.8
51,女理发师,丁然,钱鼎德 ,王丹凤,韩非,顾也鲁,"['剧情', '喜剧']",49分钟,1962,中国, 汉语普通话,7.8
52,乐鼓热线 Drumline,查尔斯·斯通三世,Tina Gordon Chism,尼克·卡农,佐伊·索尔达娜,奥兰多·琼斯,"['剧情', '喜剧', '爱情', '音乐']",118 分钟,2002,美国, 英语,7.8
53,我们的故事,梁智强,梁智强,陈丽贞,李国煌,萨米·优素夫,"['剧情', '喜剧', '家庭']",107分钟,2016,新加坡, 汉语普通话 / 闽南语 / 马来语 / 英语,7.8
54,鸟笼 The Birdcage,迈克·尼科尔斯,埃德沃德·莫利纳罗,罗宾·威廉姆斯,吉恩·哈克曼,内森·连恩,"['喜剧', '同性']",117 分钟,1996,美国, 英语,7.8
55,远行他方 Les valseuses,贝特朗·布里叶,贝特朗·布里叶,热拉尔·德帕迪约,帕特里克·迪瓦尔,缪缪,"['剧情', '喜剧', '犯罪']",France: 150 分钟(restored: 1999),1974,法国, 法语,7.8
56,日本之形 日本の形,NAMIKIBASHI,小林賢太郎,小林賢太郎,片桐仁,斉木しげる,['喜剧'],Japan: 60 分钟,2007,日本, 日语,9.1
57,欢乐树的朋友们：滑雪巡逻救生队 Happy Tree Friends: Ski Patrol,Jason Sadler,Ellen Connell,Ellen Connell,Warren Graff,Kenn Navarro,"['喜剧', '动画']",74分钟,2006,美国, 英语,9.1
58,我不是药神,文牧野,韩家女,徐峥,王传君,周一围,"['剧情', '喜剧']",117分钟,2018,中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语,9.0
59,怦然心动 Flipped,罗伯·莱纳,罗伯·莱纳,玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,"['剧情', '喜剧', '爱情']",90分钟,2010,美国, 英语,9.0
60,寻梦环游记 Coco,李·昂克里奇,阿德里安·莫利纳,安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,"['喜剧', '动画', '音乐', '奇幻']",105分钟,2017,美国, 英语 / 西班牙语,9.0
61,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,刘镇伟,周星驰,吴孟达,罗家英,"['喜剧', '爱情', '奇幻', '古装']",87分钟,1995,香港 / 中国大陆, 粤语 / 汉语普通话,9.0
62,雨中曲 Singin' in the Rain,斯坦利·多南,贝蒂·康登,吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,"['喜剧', '爱情', '歌舞']",103分钟,1952,美国, 英语,9.0
63,大独裁者 The Great Dictator,查理·卓别林,查理·卓别林,查理·卓别林,宝莲·高黛,杰克·奥克,"['剧情', '喜剧', '战争']",125 分钟,1940,美国, 英语 / 世界语,9.0
64,淘金记 The Gold Rush,查理·卓别林,查理·卓别林,查理·卓别林,马克·斯旺,Tom Murray,"['喜剧', '爱情', '西部', '冒险']",95分钟(默片版),1925,美国, 英语,9.0
65,将军号 The General,巴斯特·基顿,巴斯特·基顿,巴斯特·基顿,玛丽昂·马克,格伦·卡文德,"['剧情', '喜剧', '动作', '战争', '冒险']",67分钟,1926,美国, 无对白,9.0
66,流浪者之歌 Дом за вешање,埃米尔·库斯图里卡,埃米尔·库斯图里卡,达沃尔·杜伊莫维奇,博拉·托德洛维奇,Ljubica Adzovic,"['剧情', '喜剧', '犯罪', '奇幻']",142分钟,1988,意大利 / 英国 / 南斯拉夫, 英语 / 意大利语 / 塞尔维亚-克罗地亚语 / 吉普赛语,9.0
67,小不列颠：现场版 Little Britain: Live,Geoff Posner,马特·卢卡斯,大卫·威廉姆斯,马特·卢卡斯,汤姆·贝克,['喜剧'],79 分钟,2006,英国, 英语,9.0
68,飞屋环游记 Up,彼特·道格特,保伯·彼得森,爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,"['剧情', '喜剧', '动画', '冒险']",96分钟,2009,美国, 英语,8.9
69,绿皮书 Green Book,彼得·法雷里,尼克·瓦莱隆加,维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,"['剧情', '喜剧', '传记']",130分钟,2018,美国, 英语 / 意大利语 / 俄语 / 德语,8.9
70,玛丽和马克思 Mary and Max,亚当·艾略特,亚当·艾略特,托妮·科莱特,菲利普·塞默·霍夫曼,巴瑞·哈姆弗莱斯,"['剧情', '喜剧', '动画']",92分钟,2009,澳大利亚, 英语 / 意第绪语,8.9
71,喜宴 囍宴,李安,李安,赵文瑄,郎雄,归亚蕾,"['剧情', '喜剧', '爱情', '同性', '家庭']",108分钟,1993,台湾 / 美国, 汉语普通话 / 英语,8.9
72,虎口脱险 La grande vadrouille,热拉尔·乌里,热拉尔·乌里,路易·德·菲奈斯,布尔维尔,克劳迪奥·布鲁克,"['喜剧', '战争']",132分钟,1966,法国 / 英国, 法语 / 英语 / 德语,8.9
73,东京教父 東京ゴッドファーザーズ,今敏,今敏,江守彻,梅垣义明,冈本绫,"['剧情', '喜剧', '动画']",92分钟,2003,日本, 日语,8.9
74,我的野蛮女友 엽기적인 그녀,郭在容,郭在容,车太贤,全智贤,金仁文,"['剧情', '喜剧', '爱情']",123分钟(韩国),2001,韩国, 英语 / 韩语,8.1
75,查理和巧克力工厂 Charlie and the Chocolate Factory,蒂姆·波顿,罗尔德·达尔,约翰尼·德普,弗莱迪·海默,海伦娜·伯翰·卡特,"['喜剧', '奇幻', '冒险']",115 分钟,2005,美国 / 英国 / 澳大利亚, 英语,8.1
76,无敌破坏王2：大闹互联网 Ralph Breaks the Internet,菲尔·约翰斯顿,菲尔·约翰斯顿,约翰·C·赖利,萨拉·西尔弗曼,盖尔·加朵,"['喜剧', '动画', '奇幻', '冒险']",112分钟,2018,美国, 英语,8.1
77,欢乐好声音 Sing,加斯·詹宁斯,加斯·詹宁斯,马修·麦康纳,瑞茜·威瑟斯彭,塞思·麦克法兰,"['喜剧', '动画', '歌舞']",108分钟,2016,美国, 英语 / 日语,8.1
78,独自等待,伍仕贤,伍仕贤,夏雨,李冰冰,龚蓓苾,"['剧情', '喜剧', '爱情']",107 分钟,2005,中国大陆, 汉语普通话,8.1
79,帕丁顿熊2 Paddington 2,保罗·金,保罗·金,本·卫肖,休·格兰特,休·博纳维尔,"['喜剧', '动画', '家庭']",103分钟,2017,英国 / 法国 / 美国, 英语,8.1
80,蒂凡尼的早餐 Breakfast at Tiffany's,布莱克·爱德华兹,杜鲁门·卡波特,奥黛丽·赫本,乔治·佩帕德,帕德里夏·妮尔,"['剧情', '喜剧', '爱情']",115 分钟,1961,美国, 英语 / 葡萄牙语,8.1
81,你丫闭嘴！ Tais-toi!,弗朗西斯·韦贝尔,弗朗西斯·韦贝尔,热拉尔·德帕迪约,让·雷诺,理查德·贝里,"['喜剧', '犯罪']",85 分钟,2003,法国 / 意大利, 法语,8.1
82,真实的谎言 True Lies,詹姆斯·卡梅隆,詹姆斯·卡梅隆,阿诺·施瓦辛格,杰米·李·柯蒂斯,汤姆·阿诺德,"['喜剧', '动作', '惊悚']",141分钟,1994,美国, 英语 / 德语 / 阿拉伯语 / 法语,8.1
83,赌神 賭神,王晶,王晶,周润发,刘德华,王祖贤,"['剧情', '喜剧']",126 分钟,1989,香港, 粤语 / 日语 / 英语,8.1
84,杀手没有假期 In Bruges,马丁·麦克唐纳,马丁·麦克唐纳,科林·法瑞尔,布莱丹·格里森,克蕾曼丝·波西,"['剧情', '喜剧', '犯罪']",107分钟,2008,英国 / 美国, 英语 / 德语,8.1
85,银河系漫游指南 The Hitchhiker's Guide to the Galaxy,加斯·詹宁斯,道格拉斯·亚当斯,马丁·弗瑞曼,茅斯·达夫,山姆·洛克威尔,"['喜剧', '科幻', '冒险']",109分钟,2005,美国 / 英国, 英语,8.1
86,芳芳 Fanfan,亚历山大·雅丁,亚历山大·雅丁,苏菲·玛索,文森特·佩雷斯,马里恩·德尔特梅,"['喜剧', '爱情']",85分钟,1993,法国, 法语,8.1
87,生存家族 サバイバルファミリー,矢口史靖,矢口史靖,小日向文世,深津绘里,泉泽祐希,"['喜剧', '家庭']",117分钟,2017,日本, 日语,8.1
88,葬礼上的死亡 Death at a Funeral,弗兰克·奥兹,迪恩·克雷格,马修·麦克费登,凯莉·霍威,安迪·尼曼,['喜剧'],90 分钟,2007,英国 / 美国 / 德国 / 荷兰, 英语,8.1
89,狗狗与我的十个约定 犬と私の10の約束,本木克英,泽本嘉光,田中丽奈,加濑亮,福田麻由子,"['剧情', '喜剧', '爱情']",117 分钟,2008,日本, 日语,8.1
90,我和厄尔以及将死的女孩 Me and Earl and the Dying Girl,阿方索·戈麦斯-雷洪,杰西·安德鲁斯,托马斯·曼,奥利维亚·库克,RJ·赛勒,"['剧情', '喜剧']",105分钟,2015,美国, 英语,8.1
91,他其实没那么喜欢你 He's Just Not That Into You,肯·卡皮斯,艾比·科恩,詹妮弗·安妮斯顿,本·阿弗莱克,詹妮弗·康纳利,"['剧情', '喜剧', '爱情']",129 分钟,2009,美国 / 德国 / 荷兰, 英语,7.7
92,死侍 Deadpool,蒂姆·米勒,瑞特·里斯,瑞恩·雷诺兹,莫蕾娜·巴卡琳,艾德·斯克林,"['喜剧', '动作', '科幻', '冒险']",108分钟,2016,美国 / 加拿大, 英语,7.7
93,功夫熊猫3 Kung Fu Panda 3,吕寅荣,乔纳森·阿贝尔,杰克·布莱克,布莱恩·科兰斯顿,达斯汀·霍夫曼,"['喜剧', '动作', '动画', '冒险']",95分钟,2016,美国 / 中国大陆, 英语,7.7
94,一条狗的使命 A Dog's Purpose,拉斯·霍尔斯道姆,W·布鲁斯·卡梅伦,乔什·加德,布丽特·罗伯森,丹尼斯·奎德,"['剧情', '喜剧', '家庭']",101分钟,2017,美国, 英语,7.7
95,大内密探零零发 大內密探零零發,谷德昭,劳文生,周星驰,刘嘉玲,李若彤,"['喜剧', '动作', '爱情', '古装']",89分钟,1996,香港, 粤语,7.7
96,少林足球,周星驰,周星驰,周星驰,赵薇,吴孟达,"['喜剧', '动作', '运动']",113分钟,2001,香港 / 中国大陆, 粤语,7.7
97,宿醉 The Hangover,托德·菲利普斯,乔恩·卢卡斯,布莱德利·库珀,艾德·赫尔姆斯,扎克·加利凡纳基斯,['喜剧'],100 分钟,2009,美国, 英语,7.7
98,逃学威龙 逃學威龍,陈嘉上,陈嘉上,周星驰,张敏,吴孟达,"['喜剧', '动作', '爱情']",100分钟,1991,香港, 粤语,7.7
99,追凶者也,曹保平,张天辉,刘烨,张译,段博文,"['剧情', '喜剧', '犯罪']",110分钟,2016,中国大陆, 西南方言,7.7
100,帕丁顿熊 Paddington,保罗·金,保罗·金,本·卫肖,妮可·基德曼,休·博纳维尔,"['喜剧', '动画', '家庭']",95分钟,2014,英国 / 法国, 英语,7.7
101,乌云背后的幸福线 Silver Linings Playbook,大卫·O·拉塞尔,马修·魁克,布莱德利·库珀,詹妮弗·劳伦斯,罗伯特·德尼罗,"['剧情', '喜剧', '爱情', '家庭']",122分钟,2012,美国, 英语,7.7
102,僵尸肖恩 Shaun of the Dead,埃德加·赖特,埃德加·赖特,西蒙·佩吉,尼克·弗罗斯特,比尔·奈伊,"['喜剧', '恐怖']",99 分钟,2004,英国 / 法国 / 美国, 英语,7.7
103,加菲猫 Garfield,彼得·休伊特,Joel Cohen,比尔·默瑞,詹妮弗·洛芙·休伊特,布瑞金·梅耶,"['喜剧', '家庭']",80 分钟,2004,美国, 英语,7.7
104,恋爱假期 The Holiday,南希·迈耶斯,南希·迈耶斯,卡梅隆·迪亚兹,凯特·温丝莱特,裘德·洛,"['喜剧', '爱情']",138分钟,2006,美国, 英语,7.7
105,人生遥控器 Click,弗兰克·克拉斯,Steve Koren,亚当·桑德勒,凯特·贝金赛尔,克里斯托弗·沃肯,"['剧情', '喜剧', '家庭', '奇幻']",107 分钟,2006,美国, 英语,7.7
106,一个勺子,陈建斌,陈建斌,陈建斌,蒋勤勤,王学兵,"['剧情', '喜剧']",95分钟(公映版),2014,中国大陆, 汉语普通话 / 西北方言,7.7
107,马达加斯加2：逃往非洲 Madagascar: Escape 2 Africa,埃里克·达尼尔,伊坦·柯亨,本·斯蒂勒,克里斯·洛克,大卫·休默,"['喜剧', '动作', '动画', '家庭', '冒险']",89 分钟,2008,美国, 英语 / 意大利语,7.7
108,欲望都市 Sex and the City,迈克尔·帕特里克·金,迈克尔·帕特里克·金,莎拉·杰茜卡·帕克,金·凯特罗尔,克里斯汀·戴维斯,"['剧情', '喜剧', '爱情']",145 分钟,2008,美国, 英语,7.7
109,闰年 Leap Year,安南德·图克尔,西蒙·博福伊,艾米·亚当斯,马修·古迪,亚当·斯科特,"['喜剧', '爱情']",100 分钟,2010,美国 / 爱尔兰, 英语,7.7
110,心理游戏 マインド・ゲーム,汤浅政明,汤浅政明,今田耕司,藤井隆,山口智充,"['喜剧', '动画', '悬疑', '冒险']",103 分钟,2004,日本, 日语,8.9
111,西力传 Zelig,伍迪·艾伦,伍迪·艾伦,伍迪·艾伦,米亚·法罗,帕特里克霍根,"['喜剧', '奇幻']",79分钟,1983,美国, 英语 / 德语,8.9
112,"玉女风流 One, Two, Three",比利·怀德,比利·怀德,詹姆斯·卡格尼,霍斯特·布赫霍尔茨,帕梅拉·蒂芬,['喜剧'],115 分钟,1961,美国, 英语 / 德语 / 俄语,8.9
113,我出生了，但…… 大人の見る絵本 生れてはみたけれど,小津安二郎,伏见晁,斋藤达雄,青木富夫,吉川满子,"['剧情', '喜剧']",100 分钟,1932,日本, 日语,8.9
114,木更津猫眼 世界系列 木更津キャッツアイ ワールドシリーズ,金子文纪,宫藤官九郎,冈田准一,樱井翔,冈田义德,"['剧情', '喜剧']",131分钟,2006,日本, 日语,8.9
115,布达佩斯大饭店 The Grand Budapest Hotel,韦斯·安德森,韦斯·安德森,拉尔夫·费因斯,托尼·雷沃罗利,艾德里安·布洛迪,"['剧情', '喜剧', '冒险']",99分钟,2014,美国 / 德国 / 英国, 英语 / 法语 / 德语,8.8
116,低俗小说 Pulp Fiction,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,"['剧情', '喜剧', '犯罪']",154分钟,1994,美国, 英语 / 西班牙语 / 法语,8.8
117,阳光姐妹淘 써니,姜炯哲,姜炯哲,沈恩京,闵孝琳,姜素拉,"['剧情', '喜剧']",124分钟,2011,韩国, 韩语,8.8
118,菊次郎的夏天 菊次郎の夏,北野武,北野武,北野武,关口雄介,岸本加世子,"['剧情', '喜剧']",121 分钟,1999,日本, 日语,8.8
119,7号房的礼物 7번방의 선물,李焕庆,李焕庆,柳承龙,朴信惠,郑镇荣,"['剧情', '喜剧', '家庭']",127分钟,2013,韩国, 韩语,8.8
120,荒蛮故事 Relatos salvajes,达米安·斯兹弗隆,达米安·斯兹弗隆,达里奥·格兰迪内蒂,玛丽娅·玛努尔,莫妮卡·比利亚,"['剧情', '喜剧', '犯罪']",122分钟,2014,阿根廷 / 西班牙, 西班牙语,8.8
121,坠入 The Fall,塔西姆·辛,丹·吉尔罗伊,凯婷卡·安塔鲁,贾斯蒂恩·瓦戴尔,李·佩斯,"['剧情', '喜剧', '奇幻', '冒险']",117分钟,2006,美国 / 南非 / 印度, 英语 / 罗马尼亚语 / 拉丁语,8.8
122,我能说 아이 캔 스피크,金炫锡,金炫锡,罗文姬,李帝勋,廉惠兰,['喜剧'],119分钟,2017,韩国, 韩语 / 英语,8.8
123,上帝也疯狂2 The Gods Must Be Crazy II,加美·尤伊斯,加美·尤伊斯,历苏,Lena Farugia,Hans Strydom,['喜剧'],98 分钟,1989,博茨瓦纳 / 南非 / 美国, 英语 / 南非荷兰语 / Ungwatsi,8.8
124,热情如火 Some Like It Hot,比利·怀德,比利·怀德,玛丽莲·梦露,托尼·柯蒂斯,杰克·莱蒙,['喜剧'],120 分钟,1959,美国, 英语,8.8
125,与玛格丽特的午后 La tête en friche,让·贝克,让·贝克,热拉尔·德帕迪约,吉赛勒·卡扎德絮,帕特里克·伯利奇,['喜剧'],82分钟,2010,法国, 法语 / 佛兰德斯语,8.8
126,办公室的故事 Служебный Роман,埃利达尔·梁赞诺夫,埃利达尔·梁赞诺夫,安德烈·米亚赫科夫,阿丽萨·弗雷因德利赫,斯维特拉娜·涅莫利亚耶娃,"['喜剧', '爱情']",159 分钟,1977,苏联, 俄语,8.8
127,金鸡,赵良骏,赵良骏,吴君如,曾志伟,陈奕迅,"['剧情', '喜剧']",106分钟(多伦多电影节),2002,香港, 粤语 / 普通话,8.1
128,阿拉丁 Aladdin,罗恩·克莱蒙兹,罗恩·克莱蒙兹,斯科特·维内尔,罗宾·威廉姆斯,琳达·拉金,"['喜剧', '动画', '冒险']",90 分钟,1992,美国, 英语,8.1
129,托斯卡纳艳阳下 Under the Tuscan Sun,奥黛丽·威尔斯,奥黛丽·威尔斯,戴安·琳恩,吴珊卓,琳赛·邓肯,"['剧情', '喜剧', '爱情']",113分钟,2003,美国 / 意大利, 英语 / 意大利语 / 波兰语 / 法语 / 西班牙语 / 德语,8.1
130,如月疑云 キサラギ,佐藤祐市,古泽良太,小栗旬,中山裕介,小出惠介,"['喜剧', '悬疑']",108分钟(日本),2007,日本, 日语,8.1
131,家族之苦 家族はつらいよ,山田洋次,山田洋次,桥爪功,吉行和子,西村雅彦,"['喜剧', '家庭']",108分钟,2016,日本, 日语,8.1
132,僵尸先生 殭屍先生,刘观伟,黄鹰,林正英,许冠英,钱小豪,"['喜剧', '动作', '奇幻']",96 分钟,1985,香港, 粤语,8.1
133,追捕野蛮人 Hunt for the Wilderpeople,塔伊加·维迪提,塔伊加·维迪提,朱利安·迪尼森,山姆·尼尔,瑞玛·特·维塔,"['剧情', '喜剧', '冒险']",101分钟,2016,新西兰, 英语,8.1
134,回归 Volver,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,佩内洛普·克鲁兹,卡门·毛拉,洛拉·杜埃尼亚斯,"['剧情', '喜剧', '悬疑', '犯罪']",121 分钟,2006,西班牙, 西班牙语,8.1
135,光棍儿,郝杰,郝启田,杨振君,叶兰,粱有忠,"['剧情', '喜剧', '同性']",94分钟,2010,中国大陆, 晋语,8.1
136,星际宝贝 Lilo & Stitch,克里斯·桑德斯,克里斯·桑德斯,黛维·切斯,克里斯·桑德斯,蒂亚·卡雷尔,"['喜剧', '科幻', '动画', '家庭', '冒险']",85分钟,2002,美国, 英语 / Hawaiian,8.1
137,天才一族 The Royal Tenenbaums,韦斯·安德森,韦斯·安德森,吉恩·哈克曼,安杰丽卡·休斯顿,本·斯蒂勒,"['剧情', '喜剧', '家庭']",110 分钟,2001,美国, 英语,8.1
138,尽情游戏 Micmacs à tire-larigot,让-皮埃尔·热内,让-皮埃尔·热内,丹尼·伯恩,安德烈·杜索里埃,多米尼克·皮侬,"['喜剧', '犯罪']",105 分钟,2009,法国, 法语,8.1
139,帝一之国 帝一の國,永井聪,泉吉纮,菅田将晖,野村周平,竹内凉真,"['剧情', '喜剧']",118分钟,2017,日本, 日语,8.1
140,欢迎来北方 Bienvenue chez les Ch'tis,丹尼·伯恩,丹尼·伯恩,凯德·麦拉德,丹尼·伯恩,Zoé Félix,['喜剧'],106 分钟,2008,法国, 法语,8.1
141,鬼马小精灵 Casper,布拉德·塞伯宁,约瑟夫·奥廖洛,克里斯蒂娜·里奇,艾瑞克·爱都,本·斯坦,"['喜剧', '奇幻']",100 分钟,1995,美国, 英语,8.1
142,历史系男生 The History Boys,尼古拉斯·希特纳,阿兰·本奈特,塞缪尔·安德森,詹姆斯·柯登,斯蒂芬·坎贝尔·莫尔,"['剧情', '喜剧', '同性']",109 分钟,2006,英国, 英语,8.1
143,疯狂店员 Clerks,凯文·史密斯,凯文·史密斯,布莱恩·奥哈罗兰,杰夫·安德森,玛丽琳·吉格洛尔蒂,['喜剧'],92 分钟,1994,美国, 英语,8.1
144,尽善尽美 As Good as It Gets,詹姆斯·L·布鲁克斯,马克·安德勒斯 ,杰克·尼科尔森,海伦·亨特,格雷戈·金尼尔,"['剧情', '喜剧', '爱情']",139分钟,1997,美国, 英语,8.1
145,你好，陌生人 กวน มึน โฮ,班庄·比辛达拿刚,班庄·比辛达拿刚,辰塔维·塔纳西维,能提妲·索彭,瓦拉缇雅·妮枯哈,"['喜剧', '爱情']",130分钟,2010,泰国, 泰语 / 韩语,7.7
146,新扎师妹,马伟豪,马伟豪,杨千嬅,吴彦祖,许绍雄,"['喜剧', '爱情']",102分钟,2002,香港, 粤语,7.7
147,七个神经病 Seven Psychopaths,马丁·麦克唐纳,马丁·麦克唐纳,科林·法瑞尔,山姆·洛克威尔,伍迪·哈里森,"['喜剧', '犯罪']",110分钟,2012,英国, 英语,7.7
148,悲伤电影 새드무비,权宗官,权宗官,郑雨盛,车太贤,李己雨,"['剧情', '喜剧', '爱情']",108 分钟,2005,韩国, 韩国手语 / 韩语,7.7
149,赌神2 賭神2,王晶,王晶,周润发,梁家辉,吴倩莲,"['喜剧', '动作']",126 分钟,1994,香港, 粤语 / 汉语普通话 / 英语 / 法语,7.7
150,极限职业 극한직업,李炳宪,裴世英,柳承龙,李东辉,李荷妮,"['喜剧', '动作', '犯罪']",111分钟,2019,韩国, 韩语,7.7
151,抗癌的我 50/50,乔纳森·莱文,威尔·利沙,约瑟夫·高登-莱维特,塞斯·罗根,安娜·肯德里克,"['剧情', '喜剧']",100分钟,2011,美国, 英语,7.7
152,三个老枪手 Going in Style,扎克·布拉夫,西奥多·梅尔菲,迈克尔·凯恩,摩根·弗里曼,艾伦·阿金,"['喜剧', '犯罪']",96分钟,2017,美国, 英语,7.7
153,笑林小子2：新乌龙院 笑林小子2：新烏龍院,朱延平,朱延平,郝劭文,释小龙,吴孟达,"['喜剧', '动作']",90 分钟,1994,香港 / 台湾, 粤语,7.7
154,早间主播 Morning Glory,罗杰·米歇尔,艾莲·布洛什·麦肯纳,瑞秋·麦克亚当斯,哈里森·福特,黛安·基顿,"['剧情', '喜剧', '爱情']",106分钟,2010,美国, 英语 / 乌克兰语,7.7
155,谋杀绿脚趾 The Big Lebowski,乔尔·科恩,乔尔·科恩,杰夫·布里吉斯,约翰·古德曼,朱丽安·摩尔,"['喜剧', '犯罪']",117 分钟,1998,美国 / 英国, 英语 / 德语 / 希伯来语 / 西班牙语,7.7
156,穿越大吉岭 The Darjeeling Limited,韦斯·安德森,韦斯·安德森,欧文·威尔逊,艾德里安·布洛迪,詹森·舒瓦兹曼,"['剧情', '喜剧', '冒险']",91分钟,2007,美国, 英语 / 德语 / 北印度语 / 梵文,7.7
157,双宝斗恶魔 Tucker & Dale vs. Evil,艾利·克雷格,艾利·克雷格,泰勒·莱伯恩,艾伦·图代克,卡特里娜·宝登,"['喜剧', '恐怖']",89 分钟,2010,美国 / 加拿大, 英语,7.7
158,方形 The Square,鲁本·奥斯特伦德,鲁本·奥斯特伦德,克拉斯·邦,伊丽莎白·莫斯,多米尼克·威斯特,['喜剧'],151分钟,2017,瑞典 / 德国 / 法国 / 丹麦, 英语 / 瑞典语 / 丹麦语,7.7
159,成长边缘 The Edge of Seventeen,凯莉·弗莱蒙·克雷格,凯莉·弗莱蒙·克雷格,海莉·斯坦菲尔德,海莉·露·理查森,布莱克·詹纳,"['剧情', '喜剧']",104分钟,2016,美国, 英语,7.7
160,群尸玩过界 Braindead,彼得·杰克逊,斯蒂芬·辛克莱,蒂莫西·贝尔米,黛安娜·培耶,Elizabeth Moody,"['喜剧', '恐怖']",104 分钟,1992,新西兰, 英语 / 西班牙语,7.7
161,食梦者 バクマン。,大根仁,小畑健,佐藤健,神木隆之介,小松菜奈,['喜剧'],119分钟,2015,日本, 日语,7.7
162,一条叫旺达的鱼 A Fish Called Wanda,查尔斯·克莱顿,约翰·克立斯,约翰·克立斯,杰米·李·柯蒂斯,凯文·克莱恩,"['喜剧', '犯罪']",108 分钟,1988,美国 / 英国, 英语 / 意大利语 / 俄语,7.7
163,了不起的亡灵 ステキな金縛り,三谷幸喜,三谷幸喜,深津绘里,西田敏行,竹内结子,['喜剧'],142分钟,2011,日本, 日语,7.7
164,邮差 Il postino,迈克尔·莱德福,富里奥·斯卡佩利,菲利普·努瓦雷,马西莫·特洛伊西,玛丽亚·格拉齐亚·库奇诺塔,"['剧情', '喜剧', '爱情', '传记']",108分钟,1994,意大利 / 法国 / 比利时, 意大利语 / 西班牙语,8.8
165,黄色潜水艇 Yellow Submarine,乔治·杜宁,Lee Minoff,The Beatles,保罗·安吉利斯,约翰·克莱夫,"['喜剧', '动画', '音乐', '奇幻', '冒险']",90分钟,1968,英国 / 美国, 英语,8.8
166,魔法阿妈 魔法阿嬷,王小棣,黄黎明,文英,许杰辉,莊博文,"['喜剧', '动画', '奇幻']",80分钟,1998,台湾, 汉语普通话,8.8
167,安全至下 Safety Last!,弗雷德·C. 纽梅耶,哈尔·罗奇,哈罗德·劳埃德,米尔德丽德·戴维斯,比尔·斯特罗瑟,"['喜剧', '爱情', '惊悚']",70分钟,1923,美国, 无对白,8.8
168,七次机会 Seven Chances,巴斯特·基顿,克莱德·布鲁克曼,巴斯特·基顿,T.罗伊·巴尔内斯,辛兹·爱德华,"['喜剧', '爱情', '家庭']",56分钟(美国),1925,美国, 英语,8.8
169,从军记 Shoulder Arms,查理·卓别林,查理·卓别林,查理·卓别林,希德·卓别林,艾德娜·珀薇安丝,"['喜剧', '战争']",45分钟,1918,美国, 英语,8.8
170,秋天里的春光 Babí léto,伏拉基米尔·米切尔,杰瑞·哈巴克,伏拉基米尔·布劳德斯基,史黛拉·查娜克娃,Stanislav Zindulka,"['剧情', '喜剧', '家庭']",100分钟,2001,捷克, 捷克语,8.8
171,小羊肖恩：美好时光 Shaun The Sheep: A Woolly Good Time,克里斯托弗·萨德勒,理查德·斯塔扎克,贾斯汀·弗莱彻,约翰·斯帕克斯,理查德·韦伯,"['喜剧', '动画']",45分钟,2010,英国, 无对白,8.8
172,儿子 息子,山田洋次,朝间义隆,三国连太郎,永濑正敏,和久井映见,"['剧情', '喜剧', '爱情', '家庭']",121分钟,1991,日本, 日语,8.8
173,三毛学生意,黄佐临,范哈哈,文彬彬,张雁,刘侠声,['喜剧'],75分钟,1958,中国大陆, 汉语普通话 / 吴语,8.8
174,让子弹飞,姜文,朱苏进,姜文,葛优,周润发,"['剧情', '喜剧', '动作', '西部']",132分钟,2010,中国大陆 / 香港, 汉语普通话 / 四川话 / 山西话,8.7
