拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
飞天巨桃历险记 James and the Giant Peach,,亨利·塞利克,,Jonathan Roberts,,Richard Dreyfuss,,西蒙·卡洛,,简·丽芙丝,"['动画', '歌舞', '家庭', '奇幻', '冒险']",79 分钟,1996,英国 / 美国, 英语,7.6
开心超人,,黄伟明,,黄伟明,,邓玉婷,,祖晴,,高全胜,"['动画', '冒险']",90分钟,2013,中国大陆, 汉语普通话,7.6
奇可和丽塔 Chico & Rita,,Tono Errando,,Ignacio Martínez de Pisón,,Limara Meneses,,Mario Guerra,,Enan Oña,"['爱情', '动画', '音乐']",94分钟,2010,西班牙 / 英国, 西班牙语 / 英语 / 法语,7.6
公主追杀令 Princess,,安德斯·摩根泰勒,,Mette Heeno,,托尔·林德哈特,,Stine Fischer Christensen,,Jens Arentzen,"['剧情', '动作', '动画']",90 分钟,2006,德国 / 丹麦, 丹麦语,7.6
牵牛花与加濑同学 あさがおと加瀬さん。,,佐藤卓哉,,高岛博美,,高桥未奈美,,佐仓绫音,,木户衣吹,['动画'],58分钟,2018,日本, 日语,7.6
瘪四与大头蛋 Beavis and Butt-Head Do America,,迈克·乔吉,,迈克·乔吉,,迈克·乔吉,,布鲁斯·威利斯,,黛米·摩尔,"['喜剧', '动画', '犯罪', '冒险']",81 分钟,1996,美国, 英语,7.6
白牙 Croc-Blanc,,亚历山大·埃斯皮加雷斯,,塞尔日·弗里德曼,,尼克·奥弗曼,,拉什达·琼斯,,保罗·吉亚玛提,"['动画', '冒险']",85分钟,2018,法国 / 卢森堡 / 美国, 法语 / 英语,7.6
101忠狗续集：伦敦大冒险 101 Dalmatians II: Patch's London Adventure,,金·加姆洛德,,金·加姆洛德,,巴比·洛克伍德,,巴瑞·波斯威克,,萨缪尔·韦斯特,"['喜剧', '动画', '家庭', '冒险']",74分钟,2003,美国, 英语,7.6
芭比与三剑客 Barbie and the Three Musketeers,,William Lau,,Amy Wolfram,,Kelly Sheridan,,Tim Curry,,Kira Tozer,"['动画', '家庭']",Argentina: 81 分钟,2009,美国, 英语,7.6
乐高星球大战：学徒危机 Lego Star Wars: The Padawan Menace,,David Scott,,Michael Price,,安东尼·丹尼尔斯,,Nika Futterman,,菲尔·拉马,"['动画', '家庭', '奇幻']",22分钟,2011,美国, 英语,7.6
女他,,周圣崴,,周圣崴,,吕伏阳,,周圣崴,,赵凯欣,['动画'],95分钟,2018,中国大陆, 无对白,7.6
叽哩咕与野兽 Kirikou et les bêtes sauvages,,Bénédicte Galup,,Pierre-Ndoffé Sarr (voice),,Pierre-Ndoffé Sarr (voice),,Awa Sene Sarr (voice),,类型:,"['动画', '冒险']",75分钟,2005,法国, 法语,7.6
女孩，你的一分钟有多长,,蒋谱,,鼠七里,,崔欣,,郑洁,,类型:,"['剧情', '动画']",75分钟,2006,中国大陆, 普通话/国语,7.6
阿尼娜 Anina,,阿尔弗雷多·索德圭特,,费德里克·伊万尼尔,,费德里卡·拉卡诺,,玛丽亚·门迪维,,凯撒·特龙科索,"['动画', '家庭', '儿童']",80分钟,2013,乌拉圭 / 哥伦比亚, 西班牙语,7.6
驯龙高手3 How To Train Your Dragon: The Hidden World,,迪恩·德布洛斯,,迪恩·德布洛斯,,杰伊·巴鲁切尔,,亚美莉卡·费雷拉,,F·默里·亚伯拉罕,"['动画', '奇幻', '冒险']",104分钟,2019,美国, 英语,7.5
乐高DC超级英雄：正义联盟大战异魔联盟 Lego DC Comics Super Heroes: Justice League vs. Bizarro League,,Brandon Vietti,,戴德里克·巴德,,戴德里克·巴德,,特罗伊·贝克,,格蕾·德丽斯勒,['动画'],49分钟,2015,美国, 英语,7.3
未来蝙蝠侠：小丑归来 Batman Beyond: Return of the Joker,,Curt Geda,,鲍勃·凯恩,,威尔·弗里德尔,,马克·哈米尔,,凯文·康瑞,"['动作', '科幻', '动画', '惊悚', '犯罪']",74 分钟(original release),2000,美国, 英语,7.3
熊的传说2 Brother Bear 2,,本·格鲁克,,Rich Burns,,曼迪·摩尔,,帕特里克·德姆西,,吉姆·库宁斯,"['动画', '家庭', '奇幻', '冒险']",73分钟,2006,美国, 英语,7.3
鬼界超级混蛋 The Haunted World of El Superbeasto,,Mr. Lawrence,,Mike Bell,,罗莎里奥·道森 Rosario Dawson,,保罗·吉亚玛提 Paul Giamatti,,丹尼·特乔 Danny Trejo,"['喜剧', '动作', '动画', '奇幻', '冒险']",USA: 77 分钟,2009,美国, 英语,7.3
小姐与流浪汉2：狗儿逃家记 Lady and the Tramp II: Scamp's Adventure,,达雷尔·鲁尼,,比尔·莫兹,,斯考特·沃夫,,艾莉莎·米兰诺,,查兹·帕尔明特瑞,"['爱情', '动画', '家庭', '冒险']",69分钟,2001,美国 / 澳大利亚, 英语,7.3
伊老师与小蟾蜍大历险 The Adventures of Ichabod and Mr. Toad,,詹姆斯·阿尔格,,厄尔德曼·彭纳,,平·克劳斯贝,,埃里克·布洛尔,,巴兹尔·拉思伯恩,"['动画', '家庭', '奇幻']",68 分钟,1949,美国, 英语,7.3
蓝精灵 The Smurfs,,拉加·高斯内尔,,J·大卫·斯提姆,,尼尔·帕特里克·哈里斯,,杰玛·梅斯,,汉克·阿扎利亚,"['喜剧', '动画', '奇幻']",103分钟,2011,美国 / 比利时, 英语,7.2
极速蜗牛 Turbo,,大卫·索伦,,达伦·莱姆克,,瑞恩·雷诺兹,,保罗·吉亚玛提,,迈克尔·佩纳,"['喜剧', '动画', '冒险']",96分钟,2013,美国, 英语,7.2
公牛历险记 Ferdinand,,卡洛斯·沙尔丹哈,,罗伯特·L·贝尔德,,约翰·塞纳,,凯特·麦克金农,,莉莉·戴,"['喜剧', '动画', '冒险']",108分钟,2017,美国, 英语,7.2
恐龙当家 The Good Dinosaur,,彼得·孙,,彼得·孙,,雷蒙德·奥乔亚,,杰克·布赖特,,杰弗里·怀特,"['喜剧', '动画', '家庭', '冒险']",93分钟,2015,美国, 英语,7.2
怪兽屋 Monster House,,吉尔·克兰,,丹·哈萌,,米切尔·莫索,,山姆·勒纳,,史宾塞·洛克,"['动画', '悬疑', '惊悚', '恐怖', '奇幻']",91分钟,2006,美国, 英语,7.2
天降美食2 Cloudy with a Chance of Meatballs 2,,科迪·卡梅伦,,约翰·弗朗西斯·戴利,,比尔·哈德尔,,威尔·福特,,尼尔·帕特里克·哈里斯,"['喜剧', '动画', '奇幻']",95分钟,2013,美国, 英语,7.2
最终幻想15：王者之剑 Kingsglaive Final Fantasy XV,,野末武志,,长谷川隆,,亚伦·保尔,,肖恩·宾,,琳娜·海蒂,"['剧情', '科幻', '动画', '奇幻', '冒险']",116分钟(中国大陆),2016,日本, 英语 / 日语,7.2
快乐的大脚2 Happy Feet Two,,乔治·米勒,,乔治·米勒,,伊莱贾·伍德,,罗宾·威廉姆斯,,红粉佳人,"['喜剧', '动画', '歌舞', '家庭']",102分钟,2011,澳大利亚, 英语,7.2
我的英雄学院：两位英雄 僕のヒーローアカデミア THE MOVIE ～2人の英雄～,,长崎健司,,黑田洋介,,山下大辉,,三宅健太,,志田未来,"['动作', '动画']",96分钟,2018,日本, 日语,7.2
蝴蝶梦：梁山伯与祝英台 蝴蝶夢－梁山伯與祝英台,,蔡明钦,,蔡明钦,,萧亚轩,,刘若英,,吴宗宪,"['爱情', '动画', '奇幻', '古装']",95分钟,2004,台湾, 普通话,7.2
魔发精灵 Trolls,,迈克·米切尔,,乔纳森·阿贝尔,,安娜·肯德里克,,贾斯汀·汀布莱克,,佐伊·丹斯切尔,"['动画', '歌舞', '奇幻', '冒险']",93分钟,2016,美国, 英语,7.2
冰川时代5：星际碰撞 Ice Age: Collision Course,,麦克·特米尔,,迈克尔·J·威尔森,,西蒙·佩吉,,洁茜J ,,杰西·泰勒·弗格森,"['喜剧', '动画', '冒险']",94分钟,2016,美国, 英语,6.8
阿童木 Astro Boy,,大卫·博维斯,,蒂莫西·哈里斯,,弗莱迪·海默,,克里斯汀·贝尔,,尼古拉斯·凯奇,"['动作', '科幻', '动画', '家庭']",94 分钟,2009,香港 / 美国 / 日本, 英语,6.8
秦时明月之龙腾万里,,沈乐平,,沈乐平,,冯骏骅,,季冠霖,,沈达威,"['动画', '奇幻', '冒险', '武侠']",98分钟,2014,中国大陆, 汉语普通话 / 陕西方言,6.8
老雷斯的故事 Dr. Seuss' The Lorax,,克里斯·雷纳德,,肯·道里欧,,扎克·埃夫隆,,泰勒·斯威夫特,,丹尼·德维托,"['动画', '家庭', '奇幻']",86分钟,2012,美国 / 法国, 英语,6.8
蜜蜂总动员 Bee Movie,,Steve Hickner,,杰瑞·宋飞,,杰瑞·宋飞,,蕾妮·齐薇格,,马修·布罗德里克,"['喜剧', '动画', '家庭', '冒险']",91 分钟,2007,美国, 英语,6.8
喜羊羊与灰太狼之虎虎生威,,赵崇邦,,谢天华,,谢天华,,王祖蓝,,邓丽欣,"['动画', '儿童']",89分钟,2010,中国大陆, 汉语普通话 / 粤语,6.8
恋之风景 戀之風景,,黎妙雪,,黎妙雪,,林嘉欣,,郑伊健,,刘烨,"['剧情', '爱情', '动画']",100分钟,2003,香港 / 法国, 粤语 / 汉语普通话,6.8
熊出没·变形记,,丁亮,,徐芸,,张伟,,张秉君,,谭笑,"['喜剧', '动画', '冒险']",89分钟,2018,中国大陆, 汉语普通话,6.8
鼠来宝4：萌在囧途 Alvin and the Chipmunks: The Road Chip,,沃尔特·拜克,,罗斯·巴格达萨里安,,贾斯汀·朗,,马修·格雷·古柏勒,,杰西·麦卡尼,"['喜剧', '动画', '音乐', '奇幻', '冒险']",92分钟,2015,美国, 英语,6.8
51号星球 Planet 51,,Jorge Blanco,,Joe Stillman,,道恩·强森,,杰西卡·贝尔,,贾斯汀·朗,"['喜剧', '科幻', '动画', '家庭', '奇幻', '冒险']",USA: 91 分钟,2009,西班牙 / 英国 / 美国, 英语 / 西班牙,6.8
摇滚藏獒,,艾什·布兰农,,郑钧,,郭麒麟,,路知行,,郭德纲,"['动画', '音乐']",93分钟,2016,中国大陆 / 美国 / 香港, 英语,6.8
漂亮爸爸 キレパパ 綺麗なお父さんは好きですか？,,愚痴蓝,,Ryo Takagi,,绿川光,,樱井孝宏,,宫田幸季,['动画'],33分钟,2008,日本, 日语,6.8
萨米大冒险 Le Voyage extraordinaire de Samy,,本·斯塔森,,多米尼克·帕里斯,,蒂姆·克里,,詹尼·麦卡锡,,安东尼·安德森,"['动画', '冒险']",85分钟,2010,比利时, 英语,6.8
蝙蝠侠：煤气灯下的哥谭 Batman: Gotham by Gaslight,,刘山姆,,詹姆斯·克里格,,布鲁斯·格林伍德,,詹妮弗·卡朋特,,克里斯·考克斯,"['动作', '科幻', '动画', '悬疑', '犯罪']",78分钟,2018,美国, 英语,6.8
超人王朝 Reign of the Supermen,,刘山姆,,詹姆斯·克里格,,杰瑞·奥康奈尔,,丽贝卡·罗梅恩,,雷恩·威尔森,"['动作', '科幻', '动画']",87分钟,2019,美国, 英语,6.8
仙履奇缘2：美梦成真 Cinderella II: Dreams Come True,,John Kafka,,Jill E. Blotevogel,,詹妮弗·黑尔,,Tress MacNeille,,Rob Paulsen,"['爱情', '动画', '家庭', '奇幻']",69分钟,2002,美国, 英语,6.8
乐高DC超级英雄：哥谭大越狱 Lego DC Comics Superheroes: Justice League - Gotham City Breakout,,马特·皮特斯,,詹姆斯·克里格,,特罗伊·贝克,,诺兰·诺斯,,Khary Payton,"['喜剧', '科幻', '动画']",78分钟,2016,美国, 英语,6.8
鬼作秀3 Creepshow 3,,Ana Clavell,,Ana Clavell,,AJ·鲍恩,,Kris Allen,,Stephanie Pettee,"['动画', '恐怖', '奇幻']",104分钟,2006,美国, 英语,6.8
11度青春之《泡芙小姐的金鱼缸》,,皮三,,皮三,,余皑磊,,徐涛,,冯丹滢,['动画'],17分钟,2010,中国大陆, 汉语普通话,6.4
熊出没·奇幻空间,,林永长,,崔铁志,,尚雯婕,,鲍春来,,孙建宏,"['动画', '儿童']",90分钟,2017,中国大陆, 汉语普通话,6.4
飞机总动员 Planes,,克雷·豪尔,,杰弗里·M·霍华德,,戴恩·库克,,卡洛斯·阿拉斯拉奇,,茱莉亚·路易斯-德瑞弗斯,"['喜剧', '动画', '冒险']",91分钟,2013,美国, 英语,6.4
火星需要妈妈 Mars Needs Moms!,,西蒙·威尔斯,,西蒙·威尔斯,,赛斯·格林,,琼·库萨克,,伊莉莎白·哈诺伊斯,"['动画', '家庭']",88分钟,2011,美国, 英语,6.4
正义联盟：新的边际 Justice League: The New Frontier,,Dave Bullock,,Stan Berkowitz,,Brooke Shields	 ... 	Carol Ferris (voice),,Alan Ritchson	 ... 	Aquaman (voice),,Lex Lang	 ... 	Rick Flag,"['动作', '科幻', '动画', '奇幻', '冒险']",75 分钟,2008,美国, 葡萄牙语 / 英语,6.4
巨星总动员 Looney Tunes: Back in Action,,乔·丹特,,Larry Doyle,,布兰登·费舍,,史蒂夫·马丁,,提摩西·道尔顿,"['喜剧', '动画', '家庭', '冒险']",USA: 91 分钟,2003,美国, 英语,6.4
正义联盟大战致命五人组 Justice League vs. The Fatal Five,,刘山姆,,Jim Shooter,,凯文·康瑞,,乔治·纽伯恩,,苏珊·爱森伯格,['动画'],77分钟,2019,美国, 英语,6.4
波鲁鲁冰雪大冒险,,朴英均,,李善,,李善,,李美子,,洪小英,"['动画', '家庭', '儿童', '冒险']",79分钟,2013,韩国 / 中国大陆, 汉语普通话 / 韩语,6.4
星球绿巨人 Planet Hulk,,Greg Pak,,Greg Pak,,Rick D. Wasserman,,丽萨·安·贝利,,马克·海德斯,"['动作', '科幻', '动画']",81分钟,2010,美国, 英语,6.4
蝙蝠侠：披风斗士归来 Batman: Return of the Caped Crusaders,,里克·莫拉莱斯,,詹姆斯·塔克,,亚当·威斯特,,波特·瓦德,,朱莉·纽玛,"['喜剧', '动作', '动画', '冒险']",78分钟,2016,美国, 英语,6.4
托马斯大电影之了不起的比赛 Thomas & Friends: The Great Race,,大卫·斯特登,,安德鲁·布瑞纳,,马克·莫拉根,,大卫·拜德拉,,奥利维娅·科尔曼,"['动画', '儿童']",64分钟,2016,英国, 英语,6.4
忍者神龟 TMNT,,Kevin Munroe,,Kevin Munroe,,诺兰·诺斯,,詹姆斯·阿诺德·泰勒,,米歇尔·维特菲尔德,"['剧情', '喜剧', '动作', '动画', '家庭', '奇幻', '冒险']",87 分钟,2007,香港 / 美国, 英语 / 法语,6.3
蓝精灵：寻找神秘村 Smurfs: The Lost Village,,凯利·阿斯博瑞,,帕米拉·里本,,黛米·洛瓦托,,雷恩·威尔森,,乔·曼根尼罗,"['喜剧', '动画', '奇幻', '冒险']",90分钟,2017,美国, 英语,6.3
花木兰2 Mulan II,,达雷尔·鲁尼,,迈克尔·勒克,,刘玉玲,,温明娜,,吴珊卓,"['喜剧', '动画', '家庭']",79 分钟,2004,美国, 英语,6.3
风云决,,林超贤,,马荣成 ,,任贤齐,,谢霆锋,,韩雪,"['动作', '动画', '武侠']",110 分钟,2008,中国 / 香港, 汉语普通话 / 粤语,6.3
亚瑟和他的迷你王国2 Arthur et la vengeance de Maltazard,,吕克·贝松,,吕克·贝松,,弗莱迪·海默,,米亚·法罗,,赛琳娜·戈麦斯,['动画'],Portugal: 93 分钟,2009,法国, 英语,6.3
喜羊羊与灰太狼之兔年顶呱呱,,赵崇邦,,赵崇邦,,祖丽晴,,张琳,,邓玉婷,"['喜剧', '动画']",88分钟,2011,中国大陆, 汉语普通话,6.3
抢劫坚果店 The Nut Job,,彼得·莱佩尼奥蒂斯,,罗恩·卡梅伦,,威尔·阿奈特,,布兰登·费舍,,连姆·尼森,"['喜剧', '动画', '冒险']",86分钟,2014,加拿大 / 韩国 / 美国, 英语 / 荷兰语,6.3
绿毛怪格林奇 The Grinch,,亚罗·切尼,,迈克尔·勒西厄尔,,本尼迪克特·康伯巴奇,,卡梅伦·丝蕾,,拉什达·琼斯,"['喜剧', '动画', '奇幻']",86分钟,2018,法国 / 中国大陆 / 日本 / 美国, 英语,6.3
小红帽2 Hoodwinked Too! Hood VS. Evil,,Mike Disa,,托德·爱德华兹,,海顿·潘妮蒂尔,,格伦·克洛斯,,艾米·波勒,['动画'],84分钟,2011,美国, 英语,5.7
金箍棒传奇2：沙僧的逆袭,,哈磊,,王冰,,于立,,吴天昊,,榕榕,"['喜剧', '动画', '冒险']",91分钟,2014,中国大陆, 汉语普通话,5.7
猫和老鼠：迷失之龙 Tom and Jerry: The Lost Dragon,,史派克·布兰特,,凯莉·斯泰堡丝,,凯莉·斯泰堡丝,,薇姬·刘易斯,,吉姆·库宁斯,"['喜剧', '动画']",56分钟,2014,美国, 英语,5.7
海鲜陆战队 SeeFood,,吴安和,,蒋开诗,,Steven Bone,,Colin Chong,,Chi-Ren Choong,"['喜剧', '动画']",91分钟(中国大陆),2011,中国大陆 / 马来西亚, 英语,5.7
第七个小矮人 The 7th Dwarf,,Boris Aljinovic,,哈莱德·西博门,,Otto Waalkes,,Mirco Nontschew,,Boris Aljinovic,"['喜剧', '动画', '冒险']",88分钟(中国大陆),2014,德国, 英语 / 德语,5.7
刺猬小子之天生我刺,,黄健明,,黄健明,,苏尚卿,,汤水雨,,路知行,"['喜剧', '动画', '冒险']",93分钟,2016,中国大陆, 汉语普通话,5.7
"飞鸟历险记 Gus - Petit oiseau, grand voyage",,克里斯蒂安·德·维塔,,柯瑞·爱德华兹,,亚瑟·杜彭,,莎拉·弗里斯蒂,,布鲁诺·萨拉曼,"['喜剧', '动画', '冒险']",91分钟,2014,法国 / 比利时, 英语,5.7
神笔马良,,钟智行,,秦浩,,邵亦琛,,孟祥龙,,洪海天,"['动画', '奇幻']",87分钟,2014,中国大陆, 汉语普通话 / 山东方言,5.6
神奇马戏团之动物饼干 Magical Circus: Animal Crackers,,托尼·班克罗夫特,,斯科特·克里斯汀·萨瓦,,艾米莉·布朗特,,约翰·卡拉辛斯基,,伊恩·麦克莱恩,"['喜剧', '动画', '奇幻', '冒险']",94分钟,2017,美国 / 西班牙 / 中国大陆 / 韩国 / 香港, 英语,5.6
龙在哪里？,,胡升忠,,莱利·卡罗,,章子怡,,王力宏,,光良,"['喜剧', '动画']",97分钟,2015,中国大陆 / 香港, 汉语普通话,5.6
内裤队长 Captain Underpants: The First Epic Movie,,大卫·索伦,,尼古拉斯·斯托勒,,凯文·哈特,,托马斯·米德蒂奇,,艾德·赫尔姆斯,"['喜剧', '动作', '动画']",89分钟,2017,美国, 英语,5.6
钟馗传奇之岁寒三友,,晓寒,,晓寒,,何艳平,,刘帅,,余培喧,"['动画', '奇幻']",90分钟,2017,中国大陆, 汉语普通话,5.6
钢铁侠与浩克：联合战记 Iron Man & Hulk: Heroes United,,Eric Radomski,,Leo Riley,,Adrian Pasdar,,Dee Bradley Baker,,Fred Tatasciore,['动画'],71分钟,2013,美国, 英语,5.6
冰雪女王 Снежная королева,,弗拉德连·芭尔贝,,弗拉德连·芭尔贝,,安娜·舒若希基娜,,伊万·阿赫洛贝斯金,,加林娜·秋宁娜,"['动画', '奇幻']",76分钟(中国大陆),2012,俄罗斯, 俄语,5.6
银河守卫队 Ratchet and Clank,,杰瑞卡·克莱兰,,托德·菲克斯曼,,詹姆斯·阿诺德·泰勒,,大卫·卡耶,,保罗·吉亚玛提,"['喜剧', '动作', '科幻', '动画', '冒险']",94分钟,2016,香港 / 加拿大 / 美国, 英语,5.6
森林奇缘 Викрадена принцеса: Руслан i Людмила,,奥列格·马拉姆兹,,普希金,,娜迪亚·多洛菲娃,,阿勒克西·扎夫戈罗德尼,,耶文·马鲁卡,"['喜剧', '动画', '奇幻']",91分钟,2018,乌克兰, 乌克兰语,5.6
灵狼传奇 Савва. Сердце воина,,马克西姆·法捷耶夫,,亚历山大·奇斯蒂科弗,,马克西姆·契克哈里尤夫,,康斯坦丁·哈宾斯基,,费奥多尔·邦达尔丘克,"['动画', '奇幻', '冒险']",85分钟,2015,俄罗斯, 俄语,5.6
首尔站 서울역,,延尚昊,,延尚昊,,柳承龙,,沈恩京,,李准,['动画'],92分钟,2016,韩国, 韩语,5.5
肆式青春 詩季織々,,李豪凌,,永川成基,,坂泰斗,,寿美菜子,,白石晴香,['动画'],74分钟,2018,日本 / 中国大陆, 汉语普通话 / 日语 / 粤语 / 上海话,5.5
喜羊羊与灰太狼之开心闯龙年,,简耀宗,,王舒,,周笔畅,,阿牛,,欧弟,"['喜剧', '动画', '儿童', '冒险']",85分钟,2012,中国大陆, 汉语普通话 / 粤语,5.5
梦幻飞琴 The Flying Machine,,马丁·克拉普,,吉欧夫·林赛,,郎朗,,海瑟·格拉汉姆,,吉茜·米,"['动画', '音乐', '奇幻']",85分钟,2011,英国 / 波兰 / 中国大陆 / 印度 / 挪威, 英语,3.3
四渡赤水,,鲁艺,,方城,,张震,,叶宝华,,任亚明,"['剧情', '动画', '战争']",85分钟,2016,中国大陆, 汉语普通话,3.2
我爱灰太狼2,,叶凯,,黄伟健,,赵英俊,,王智,,蔡景森,"['喜剧', '动画']",88分钟,2013,中国大陆, 汉语普通话,2.8
摩登森林之美食总动员,,舒展,,孙征,,冯骏骅,,倪春佳,,杨鸥,"['喜剧', '动画', '冒险']",89分钟,2014,中国大陆, 汉语普通话,2.7
美人鱼之海盗来袭,,邱浩强,,陈晴,,李思娴,,郭亚维,,宋磊,"['喜剧', '动画', '奇幻', '冒险']",90分钟,2015,中国大陆, 汉语普通话,2.6
西柏坡2：英雄王二小,,施屹,,濮澍,,刘纯燕,,李扬,,董浩,"['动画', '儿童', '战争']",85分钟,2013,中国大陆, 汉语普通话,2.6
钢铁飞龙之再见奥特曼,,王巍,,王巍,,侯勇,,大张伟,,金晨,"['动作', '科幻', '动画']",90分钟,2017,中国大陆, 汉语普通话,2.5
太空熊猫英雄归来,,郑成峰,,郑成峰,,丁妍,,王亚林,,叶芳,"['喜剧', '科幻', '动画', '冒险']",81分钟,2015,中国大陆, 汉语普通话,2.5
魔镜奇缘,,郑成峰,,郑成峰,,琪琪,,王琪,,孙科,"['动画', '家庭', '奇幻', '冒险']",81分钟,2015,中国大陆, 汉语普通话,2.5
汽车人总动员,,卓建荣,,吴伟,,刘馨萱,,沈桦,,袁文革,"['喜剧', '动画', '冒险']",85分钟,2015,中国大陆, 汉语普通话,2.4
泰迪熊之玩具大战,,胡韵,,胡韵,,邓小婷,,赵奔,,白文显,"['喜剧', '动画']",78分钟,2016,中国大陆, 汉语普通话,2.4
太空熊猫总动员,,郑成峰,,郑成峰,,易小寅,,敖磊,,左昕祺,"['喜剧', '动画', '奇幻', '冒险']",75分钟,2014,中国大陆, 汉语普通话,2.4
冲锋号,,贺梦凡,,贺梦凡,,邱启明,,类型:,,动画,"['动画', '儿童', '战争']",82分钟,2013,中国大陆, 汉语普通话,2.4
白雪公主和三只小猪,,莎莉,,董艺丛,,倪虹洁,,任志宏,,谷放冰,"['动作', '动画', '冒险']",80分钟,2016,中国大陆 / 美国, 汉语普通话 / 英语,2.4
高铁英雄,,吴治邦,,卡龙编剧组,,李正翔,,夏磊,,吴磊,"['动画', '冒险']",88分钟,2013,中国大陆 / 日本, 汉语普通话,2.3
